% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.681200000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.789697629e+001 +3.860169763e+002 +3.860169763e+002
449 0 +1.757819945e+001 +3.856981995e+002 +3.856981995e+002
516 0 +1.718473686e+001 +3.853047369e+002 +3.853047369e+002
635 0 +1.451667643e+001 +3.826366764e+002 +3.826366764e+002
993 0 +1.356526022e+001 +3.816852602e+002 +3.816852602e+002
1029 0 +1.118055367e+001 +3.793005537e+002 +3.793005537e+002
3723 0 +9.843627980e+000 +3.779636280e+002 +3.779636280e+002
6357 0 +9.145065066e+000 +3.772650651e+002 +3.772650651e+002
7757 0 +8.793293270e+000 +3.769132933e+002 +3.769132933e+002
8556 0 +8.312683921e+000 +3.764326839e+002 +3.764326839e+002
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.739000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.703731449e+001 +6.442731449e+001 +6.442731449e+001
414 0 +1.654540924e+001 +6.393540924e+001 +6.393540924e+001
489 0 +1.304919024e+001 +6.043919024e+001 +6.043919024e+001
1100 0 +1.275465491e+001 +6.014465491e+001 +6.014465491e+001
1851 0 +1.215357121e+001 +5.954357121e+001 +5.954357121e+001
2372 0 +1.158505333e+001 +5.897505333e+001 +5.897505333e+001
2797 0 +1.138930429e+001 +5.877930429e+001 +5.877930429e+001
3185 0 +1.090547806e+001 +5.829547806e+001 +5.829547806e+001
6561 0 +1.040751066e+001 +5.779751066e+001 +5.779751066e+001
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.428900000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.415195595e+001 -3.287380440e+002 -3.287380440e+002
522 0 +1.408870435e+001 -3.288012957e+002 -3.288012957e+002
684 0 +1.344195562e+001 -3.294480444e+002 -3.294480444e+002
997 0 +1.315723548e+001 -3.297327645e+002 -3.297327645e+002
1051 0 +1.209429598e+001 -3.307957040e+002 -3.307957040e+002
1951 0 +1.114482204e+001 -3.317451780e+002 -3.317451780e+002
3530 0 +1.084609327e+001 -3.320439067e+002 -3.320439067e+002
3991 0 +1.044904284e+001 -3.324409572e+002 -3.324409572e+002
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.102000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.558797812e+001 +1.066079781e+002 +1.066079781e+002
486 0 +1.284843193e+001 +1.038684319e+002 +1.038684319e+002
1660 0 +1.099000029e+001 +1.020100003e+002 +1.020100003e+002
2208 0 +9.818538270e+000 +1.008385383e+002 +1.008385383e+002
2396 0 +9.412798124e+000 +1.004327981e+002 +1.004327981e+002
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.324200000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.552049668e+000 +7.419720497e+002 +7.419720497e+002
5159 0 +9.383227616e+000 +7.418032276e+002 +7.418032276e+002
7768 0 +9.281485350e+000 +7.417014854e+002 +7.417014854e+002
9679 0 +8.999145097e+000 +7.414191451e+002 +7.414191451e+002
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.542000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.602411789e+001 +5.144411789e+001 +5.144411789e+001
830 0 +1.488844738e+001 +5.030844738e+001 +5.030844738e+001
1180 0 +1.464752888e+001 +5.006752888e+001 +5.006752888e+001
3068 0 +1.280230197e+001 +4.822230197e+001 +4.822230197e+001
9306 0 +1.212602038e+001 +4.754602038e+001 +4.754602038e+001
